Folge,Name,Gewicht,Alter
1,Midnight,350,12
2,Delight,280,3
3,Maverick,400,5
4,Rondo,520,12
5,Maranello,450,20
6,Salute,300,4
7,Calli,450,10
8,Karl,300,15
9,Furore,500,12
10,Nabo,300,8
11,Devina,450,17
12,Tajo,150,3
13,Saphina,200,5
14,Donna,450,15
15,Hugo,500,13
16,Pippa,400,18
17,Shadow,580,10
18,Million,280,3
19,Osi,250,18
20,Onkel,300,17
21,James,150,10
22,Fine,350,15
23,Dario,250,17
24,Bella,480,6
25,Rosa,200,3
26,Milla,200,3
27,Missy,400,10
28,Eddi,580,12
29,Nasty,300,13
30,Irant,500,12


